Model,Cleveland,Hungary,Switzerland,VA Long Beach,Spread (Max-Min)
SVM,0.7636363636363637,0.7488151658767772,0.78125,0.7986111111111112,0.04979594523433395
Random Forest,0.7719298245614035,0.7439613526570048,0.7708333333333334,0.7972027972027972,0.05324144454579238
KNN,0.7636363636363637,0.693069306930693,0.7282608695652174,0.7741935483870968,0.08112424145640373
XGBoost,0.7457627118644068,0.711864406779661,0.7243243243243244,0.8140350877192982,0.10217068093963722
Logistic Regression,0.7636363636363637,0.7614678899082569,0.5590062111801242,0.7859649122807018,0.2269587011005776
